OCCUPATION,ID,OCCUPATION,ID2,COMMON
brick moulder ,2396,cuts rags ,2928,
brick moulder ,2494,cuts rags ,2996,
brick moulder ,2758,cuts rags ,3096,
brick yard ,2501,cuts rags ,3147,
brick yard ,2521,cuts rags ,3255,
brick yard ,2593,cuts rags ,3261,
brick yard ,2602,cuts rags ,3275,
brick yard ,2620,cuts rags ,3416,
brick yard ,2726,cuts rags ,3461,
brick yard ,2849,cuts rags ,3553,
brick yard ,2913,cuts rags ,3561,
brick yard ,2940,cuts rags ,3616,
brick yard ,3058,cuts rags ,3630,
brick yard ,4000,cuts rags ,3632,
bricklayer ,993,cuts rags ,3643,
brickmaker ,2676,cuts rags ,3849,
brickmaker ,4092,cuts rags ,3939,
brickmaker ,4275,cuts rags ,3982,
builder ,793,cuts rags ,3999,
cab driver,1328,cuts rags days work ,3206,
cabinet ,1636,cuts rags days work ,3865,
cabinet maker ,759,cuts rags days work ,4004,
cabinet maker ,1638,cuts rags weakly ,2923,
cabinet maker ,1784,day work rag & bone picker,3635,
cabinet maker ,1976,days work,3260,
cabinet maker ,1990,days work,3810,
cabinet maker ,2000,days work ,11,
cabinet maker ,2132,days work ,23,
cabinet maker ,2435,days work ,27,
cabinet maker ,2955,days work ,29,
cabinet maker ,3559,days work ,30,
cabinet maker ,3874,days work ,39,
cabinet maker ,3884,days work ,40,
cabinet maker now porter ,1002,days work ,41,
cabman ,1288,days work ,46,
cake baker ,472,days work ,50,
cake baker ,596,days work ,54,
cake baker ,1040,days work ,60,
cake baker ,1569,days work ,63,
cake peddlers ,678,days work ,72,
cake seller ,68,days work ,75,
cake seller ,1037,days work ,77,
cake seller ,1523,days work ,78,
cake seller ,1599,days work ,79,
cake seller ,1652,days work ,80,
cake seller ,1736,days work ,81,
cake seller ,2053,days work ,88,
cake seller ,2245,days work ,93,
cake seller ,2266,days work ,96,
cake seller ,2320,days work ,97,
cake seller average ,270,days work ,98,
cant tell ,449,days work ,108,
car man ,3943,days work ,112,
carman ,2610,days work ,122,
carman ,2683,days work ,123,
carman ,2941,days work ,124,
carman ,2976,days work ,132,
carman ,3045,days work ,139,
carman ,3221,days work ,140,
carman ,3571,days work ,141,
carman ,3637,days work ,160,
carman ,3748,days work ,162,
carman ,3763,days work ,183,
carpenter ,793,days work ,191,
carpenter ,868,days work ,192,
carpenter ,1094,days work ,203,
carpenter ,1256,days work ,207,
carpenter ,1410,days work ,209,
carpenter ,1642,days work ,212,
carpenter ,1662,days work ,213,
carpenter ,1755,days work ,214,
carpenter ,1878,days work ,223,
carpenter ,2096,days work ,240,
carpenter ,2267,days work ,241,
carpenter ,2357,days work ,242,
carpenter ,2503,days work ,249,
carpenter ,2895,days work ,254,
carpenter ,3259,days work ,255,
carpenter ,3866,days work ,258,
carpenter ,4014,days work ,259,
carpenter ,4098,days work ,261,
carpenter when able ,1381,days work ,268,
carries salt ,4012,days work ,279,
carter ,1958,days work ,281,
carter ,2516,days work ,290,
carter ,2520,days work ,312,
carter ,2523,days work ,321,
carter ,2535,days work ,334,
carter ,2557,days work ,336,
carter ,2568,days work ,344,
carter ,2578,days work ,345,
carter ,2579,days work ,349,
carter ,2599,days work ,350,
carter ,2613,days work ,353,
carter ,2616,days work ,354,
carter ,2691,days work ,357,
carter ,2781,days work ,358,
carter ,2789,days work ,365,
carter ,2793,days work ,370,
carter ,2823,days work ,372,
carter ,2844,days work ,388,
carter ,2854,days work ,391,
carter ,2938,days work ,397,
carter ,3007,days work ,406,
carter ,3032,days work ,416,
carter ,3045,days work ,424,
carter ,3047,days work ,428,
carter ,3050,days work ,433,
carter ,3171,days work ,435,
carter ,3174,days work ,437,
carter ,3180,days work ,456,
carter ,3221,days work ,459,
carter ,3224,days work ,460,
carter ,3295,days work ,461,
carter ,3311,days work ,465,
carter ,3358,days work ,468,
carter ,3363,days work ,475,
carter ,3374,days work ,483,
carter ,3430,days work ,499,
carter ,3496,days work ,502,
carter ,3503,days work ,505,
carter ,3570,days work ,516,
carter ,3637,days work ,519,
carter ,3673,days work ,520,
carter ,3713,days work ,521,
carter ,3759,days work ,526,
carter ,3785,days work ,535,
carter ,3855,days work ,542,
carter ,3929,days work ,546,
carter ,3932,days work ,550,
carter ,3943,days work ,551,
carter ,3990,days work ,563,
carter ,3992,days work ,564,
carter ,3995,days work ,565,
carter ,4026,days work ,566,
carter ,4030,days work ,568,
carter ,4032,days work ,575,
carter ,4057,days work ,578,
carter ,4068,days work ,581,
carter ,4074,days work ,582,
carter ,4091,days work ,610,
carter ,4100,days work ,633,
carter ,4112,days work ,652,
carter ,4117,days work ,656,
carter ,4124,days work ,657,
carter ,4132,days work ,664,
carter ,4134,days work ,686,
carter ,4165,days work ,689,
carter ,4166,days work ,691,
carter ,4182,days work ,693,
carter ,4202,days work ,698,
carter ,4215,days work ,699,
carter ,4227,days work ,702,
carter ,4228,days work ,703,
carter ,4239,days work ,705,
carter his own ,541,days work ,711,
carter his own ,543,days work ,714,
carter his own ,572,days work ,717,
carter his own ,582,days work ,738,
carter his own ,761,days work ,768,
carter his own ,767,days work ,769,
carter his own ,768,days work ,770,
carter his own ,1118,days work ,818,
carter his own ,1182,days work ,821,
carter his own ,1255,days work ,846,
carter his own ,1266,days work ,847,
carter his own ,1459,days work ,853,
carter his own ,1578,days work ,862,
carter his own ,1640,days work ,879,
carter his own ,1823,days work ,883,
carter his own ,1915,days work ,884,
carter his own ,2091,days work ,888,
carter his own ,2261,days work ,889,
carter his own ,3075,days work ,891,
carter in lumber yard ,4259,days work ,898,
carting ,3077,days work ,899,
carting ,3859,days work ,900,
carver ,1681,days work ,905,
chair bottomer ,2261,days work ,906,
chaise driver ,2339,days work ,908,
chandler ,3640,days work ,909,
chimney sweeper ,2556,days work ,911,
china packer ,2128,days work ,913,
china store ,3827,days work ,915,
clergyman ,3177,days work ,917,
clergyman ,3350,days work ,925,
clergyman ,3577,days work ,928,
clergyman ,3823,days work ,929,
clergyman ,3973,days work ,930,
clergyman ,4127,days work ,936,
clergyman itinerent ,3754,days work ,937,
clerk ,2385,days work ,944,
clock printer by trade ,1517,days work ,949,
cloth dealer ,3253,days work ,951,
clothes dealer ,152,days work ,966,
clothes dealer ,175,days work ,967,
clothes dealer ,246,days work ,980,
clothes dealer ,404,days work ,981,
clothes dealer ,411,days work ,988,
clothes dealer ,834,days work ,1002,
clothes dealer ,865,days work ,1005,
clothes dealer ,998,days work ,1012,
clothes dealer ,1025,days work ,1013,
clothes dealer ,1097,days work ,1017,
clothes dealer ,1128,days work ,1019,
clothes dealer ,1521,days work ,1027,
clothes dealer ,1602,days work ,1029,
clothes dealer ,1605,days work ,1033,
clothes dealer ,1717,days work ,1060,
clothes dealer ,1725,days work ,1069,
clothes dealer ,1753,days work ,1076,
clothes dealer ,1988,days work ,1082,
clothes dealer ,1989,days work ,1084,
clothes dealer ,2025,days work ,1108,
clothes dealer ,2064,days work ,1110,
clothes dealer ,2153,days work ,1113,
clothes dealer ,2169,days work ,1120,
clothes dealer ,2396,days work ,1124,
clothes dealer ,2406,days work ,1126,
clothes dealer ,2407,days work ,1127,
clothes dealer ,2411,days work ,1130,
clothes dealer ,2448,days work ,1145,
clothes dealer ,2882,days work ,1150,
clothes dealer ,3604,days work ,1170,
clothes dealer ,3691,days work ,1173,
clothes dealer ,3782,days work ,1178,
clothes dealer ,3801,days work ,1200,
clothes seller ,3622,days work ,1201,
clothes seller ,3774,days work ,1204,
clothes seller ,3905,days work ,1206,
clothing seller,2738,days work ,1210,
clothing seller,4208,days work ,1213,
coachman ,261,days work ,1214,
coachman ,316,days work ,1217,
coachman ,366,days work ,1218,
coachman ,386,days work ,1220,
coachman ,423,days work ,1221,
coachman ,438,days work ,1222,
coachman ,534,days work ,1231,
coachman ,813,days work ,1239,
coachman ,853,days work ,1243,
coachman ,1011,days work ,1245,
coachman ,1041,days work ,1255,
coachman ,1054,days work ,1259,
coachman ,1075,days work ,1264,
coachman ,1087,days work ,1265,
coachman ,1137,days work ,1269,
coachman ,1228,days work ,1271,
coachman ,1285,days work ,1281,
coachman ,1367,days work ,1283,
coachman ,1393,days work ,1303,
coachman ,1405,days work ,1304,
coachman ,1407,days work ,1308,
coachman ,1418,days work ,1310,
coachman ,1428,days work ,1320,
coachman ,1453,days work ,1321,
coachman ,1523,days work ,1326,
coachman ,1535,days work ,1328,
coachman ,1541,days work ,1334,
coachman ,1547,days work ,1335,
coachman ,1551,days work ,1344,
coachman ,1553,days work ,1347,
coachman ,1561,days work ,1348,
coachman ,1616,days work ,1357,
coachman ,1646,days work ,1358,
coachman ,1661,days work ,1360,
coachman ,1710,days work ,1367,
coachman ,1711,days work ,1369,
coachman ,1761,days work ,1376,
coachman ,1777,days work ,1378,
coachman ,1785,days work ,1384,
coachman ,1880,days work ,1392,
coachman ,1944,days work ,1393,
coachman ,1973,days work ,1412,
coachman ,1997,days work ,1414,
coachman ,2023,days work ,1418,
coachman ,2032,days work ,1422,
coachman ,2054,days work ,1426,
coachman ,2060,days work ,1433,
coachman ,2078,days work ,1440,
coachman ,2079,days work ,1442,
coachman ,2100,days work ,1449,
coachman ,2125,days work ,1455,
coachman ,2137,days work ,1460,
coachman ,2155,days work ,1461,
coachman ,2165,days work ,1467,
coachman ,2216,days work ,1471,
coachman ,2235,days work ,1472,
coachman ,2239,days work ,1473,
coachman ,2241,days work ,1478,
coachman ,2256,days work ,1490,
coachman ,2334,days work ,1493,
coachman ,2337,days work ,1495,
coachman ,2343,days work ,1496,
coachman ,2409,days work ,1497,
coachman ,2419,days work ,1507,
coachman ,2423,days work ,1509,
coachman ,2430,days work ,1514,
coachman ,2458,days work ,1516,
coachman ,2470,days work ,1522,
coachman ,2515,days work ,1525,
coachman ,2618,days work ,1531,
coachman ,2626,days work ,1538,
coachman ,2633,days work ,1539,
coachman ,2641,days work ,1542,
coachman ,2714,days work ,1545,
coachman ,2736,days work ,1562,
coachman ,2741,days work ,1573,
coachman ,2753,days work ,1574,
coachman ,2806,days work ,1577,
coachman ,2948,days work ,1580,
coachman ,2980,days work ,1583,
coachman ,3115,days work ,1606,
coachman ,3125,days work ,1607,
coachman ,3263,days work ,1609,
coachman ,3297,days work ,1621,
coachman ,3344,days work ,1627,
coachman ,3369,days work ,1629,
coachman ,3431,days work ,1643,
coachman ,3456,days work ,1649,
coachman ,3513,days work ,1650,
coachman ,3588,days work ,1658,
coachman ,3606,days work ,1702,
coachman ,3633,days work ,1724,
coachman ,3661,days work ,1726,
coachman ,3735,days work ,1727,
coachman ,3886,days work ,1728,
coachman ,4096,days work ,1742,
coachman ,4149,days work ,1744,
coachman ,4156,days work ,1750,
coachman ,4200,days work ,1755,
coachman ,4212,days work ,1761,
coachman ,4220,days work ,1762,
coachman ,4247,days work ,1764,
coachman ,4249,days work ,1767,
coachman ,4272,days work ,1772,
coal carrier ,2902,days work ,1781,
coal carrier ,3275,days work ,1799,
coal carrier ,3453,days work ,1802,
coal carrier ,3505,days work ,1807,
coal carrier ,3829,days work ,1808,
coal yard ,2650,days work ,1810,
coal yard ,4129,days work ,1814,
cobbler ,478,days work ,1822,
cobbler ,3086,days work ,1826,
coffee roaster ,2584,days work ,1827,
coffee roaster ,2662,days work ,1833,
coffee roaster ,2665,days work ,1836,
collecter ,1106,days work ,1842,
commission merchant ,1912,days work ,1845,
confectionary ,3106,days work ,1849,
confectionary ,3926,days work ,1851,
confectioner ,389,days work ,1855,
confectioner ,1757,days work ,1860,
confectioner ,2058,days work ,1869,
confectioner ,2301,days work ,1870,
confectioner ,2465,days work ,1871,
cook ,298,days work ,1884,
cook ,486,days work ,1892,
cook ,674,days work ,1894,
cook ,723,days work ,1903,
cook ,782,days work ,1905,
cook ,896,days work ,1906,
cook ,940,days work ,1923,
cook ,974,days work ,1935,
cook ,1080,days work ,1937,
cook ,1236,days work ,1943,
cook ,3694,days work ,1946,
cook at hotel ,4236,days work ,1949,
cook on boat ,3716,days work ,1953,
cooking ,3710,days work ,1954,
cooks ,1035,days work ,1957,
crippled in his hands ,651,days work ,1960,
cupper bleeder ,420,days work ,1967,
currier ,200,days work ,1999,
currier ,1526,days work ,2006,
currier ,1568,days work ,2014,
cuts rags ,3491,days work ,2018,
day work ,3476,days work ,2019,
days work ,1893,days work ,2027,
days work ,3710,days work ,2035,
dealer ,184,days work ,2036,
dealer ,957,days work ,2049,
dealer ,1093,days work ,2053,
dealer ,1215,days work ,2054,
dealer ,1216,days work ,2066,
dealer ,1383,days work ,2067,
dealer hominey ,2905,days work ,2072,
dealer in cakes ,4067,days work ,2079,
dealer in medicines etc ,3071,days work ,2087,
dealer in oyster ,2581,days work ,2088,
dealer in oyster ,2667,days work ,2090,
dealer in oyster ,4078,days work ,2100,
dealer in rope boxes ,2722,days work ,2101,
dealer in s hand clothes ,2570,days work ,2109,
dealer in s hand clothes ,2782,days work ,2115,
dealer in second hand cloths ,2639,days work ,2122,
dealer in tobacco ,2944,days work ,2132,
dealer in tow linen c ,3281,days work ,2134,
dealer pretty good ,732,days work ,2144,
dentist ,1518,days work ,2160,
dentist ,2617,days work ,2165,
dentist ,2833,days work ,2171,
distiller ,2440,days work ,2177,
does nothing ,326,days work ,2188,
dog catcher ,3364,days work ,2190,
door mat maker ,2975,days work ,2193,
draper ,3145,days work ,2197,
draper ,3448,days work ,2199,
draper ,3760,days work ,2201,
drayman ,2550,days work ,2222,
drayman ,2561,days work ,2224,
drayman ,2594,days work ,2244,
drayman ,2604,days work ,2247,
drayman ,2673,days work ,2248,
drayman ,2800,days work ,2254,
drayman ,2921,days work ,2260,
drayman ,3205,days work ,2276,
drayman ,3479,days work ,2277,
drayman ,3761,days work ,2288,
drayman ,4008,days work ,2293,
drayman ,4253,days work ,2301,
dress maker,1968,days work ,2303,
drives cart ,355,days work ,2308,
drives cart ,484,days work ,2318,
drives cart ,582,days work ,2319,
drives cart ,671,days work ,2321,
drives cart ,966,days work ,2332,
drives cart ,1055,days work ,2342,
drives cart ,1299,days work ,2345,
drives cart ,1310,days work ,2361,
drives cart ,1402,days work ,2368,
drives cart ,1415,days work ,2376,
drives cart ,1479,days work ,2389,
drives cart ,1507,days work ,2397,
drives cart ,1657,days work ,2404,
drives cart ,1956,days work ,2405,
drives cart ,2091,days work ,2416,
drives cart ,2109,days work ,2417,
drives cart ,2230,days work ,2419,
drives cart ,2416,days work ,2421,
drives cart ,2467,days work ,2430,
drives cart ,4056,days work ,2433,
drives coal cart ,286,days work ,2441,
drives coal cart ,2205,days work ,2442,
drives coal cart ,2433,days work ,2443,
drives dray ,3,days work ,2450,
drives dray ,109,days work ,2451,
drives dray ,141,days work ,2476,
drives dray ,380,days work ,2484,
drives dray ,385,days work ,2489,
drives dray ,987,days work ,2491,
drives dray ,1257,days work ,2862,
drives dray ,1763,days work ,2876,
drives dray ,1789,days work ,2889,
drives dray ,2300,days work ,2894,
drives fur car ,120,days work ,2904,
drives fur car ,121,days work ,2907,
drives fur car ,1184,days work ,2945,
drives fur cart his own ,738,days work ,2970,
drives furniture car ,66,days work ,3014,
drives furniture car ,1479,days work ,3042,
drives horse ,402,days work ,3077,
drives ice cart in summer winter cook ,3198,days work ,3079,
drives oyster cart,3599,days work ,3085,
drug grinder ,2420,days work ,3087,
dyer ,1518,days work ,3090,
dyer ,1644,days work ,3091,
dyer scouner ,1430,days work ,3105,
eating cellar ,3222,days work ,3107,
eating establishment ,2885,days work ,3132,
eating house ,303,days work ,3161,
eating house ,427,days work ,3191,
eating house ,585,days work ,3227,
eating house ,749,days work ,3266,
eating house ,781,days work ,3279,
eating house ,845,days work ,3280,
eating house ,1244,days work ,3288,
eating house ,1316,days work ,3291,
eating stand in market ,1533,days work ,3324,
engineer ,762,days work ,3327,
engineer ,1379,days work ,3356,
engineer ,2232,days work ,3362,
engineer ,2492,days work ,3373,
engineer ,2978,days work ,3376,
engineer ,3234,days work ,3390,
engineer ,4221,days work ,3409,
farmer ,2625,days work ,3417,
farmer ,3194,days work ,3421,
farmer ,3229,days work ,3434,
farmer ,3283,days work ,3438,
farmer ,3318,days work ,3442,
farmer ,3477,days work ,3447,
farmer ,3613,days work ,3453,
farmer ,3804,days work ,3482,
farmer ,4011,days work ,3484,
farmer ,4025,days work ,3505,
farmer ,4116,days work ,3530,
farmer ,4140,days work ,3555,
farmer ,4141,days work ,3580,
fiddler ,3111,days work ,3597,
fiddler ,3152,days work ,3616,
fireman steamboat ,3321,days work ,3646,
fluid dealer ,3757,days work ,3660,
foreman in lumber yard ,2842,days work ,3687,
funiture cart his own ,1595,days work ,3716,
furniture dealer ,1337,days work ,3733,
furniture dealer ,2872,days work ,3736,
gardener ,1105,days work ,3753,
general jobbing ,2855,days work ,3761,
gentleman ,244,days work ,3766,
gentleman ,1365,days work ,3777,
gentleman nurse ,3601,days work ,3781,
glazier ,508,days work ,3790,
glazier ,592,days work ,3795,
glazier ,1363,days work ,3821,
glazier ,1436,days work ,3833,
glazier ,1778,days work ,3838,
glazier ,2223,days work ,3853,
glazier ,3065,days work ,3856,
grain carrier ,322,days work ,3866,
grain carrier ,518,days work ,3897,
grain carrier ,580,days work ,3903,
grain carrier ,1336,days work ,3908,
grain carrier ,1932,days work ,3913,
grain carrier cant tell ,519,days work ,3927,
grain carrier good wages sometimes ,661,days work ,3930,
grocer ,1280,days work ,3934,
grocer ,1958,days work ,3940,
groom ,2588,days work ,3953,
hack driver ,1187,days work ,3961,
hackman ,2095,days work ,3962,
hackman his own ,750,days work ,3983,
hair dresser ,2518,days work ,3994,
