ID,Males intemperate,Females intemperate,Can read,Can write,Born slaves,Bought freedom,Attend religious meetings,Not attend religious meetings,Belong to temperance societies,Source
0202,,,1,,,,1,,,City
0203,,,,,,,1,,,City
0204,,,2,2,,,1,1,,City
0205,,,,,,,3,,,City
0206,,,1,,,,2,,,City
0207,,,3,1,,,3,,,City
0208,,,2,,,,2,,,City
0209,,,6,2,,,4,,1,City
0210,,,1,,,,4,,1,City
0211,,,6,3,,,6,,,City
0212,,,,,,,1,,,City
0213,,,1,1,,,1,,1,City
0214,,,,,,,1,,,City
0215,,,1,1,,,1,,,City
0216,,,3,3,,,3,,,City
0217,,,1,,,,2,,,City
0218,,,1,,,,,,,City
0219,,,2,1,,,5,,,City
0220,,,5,5,,,5,,,City
0221,,,2,2,,,2,,,City
0222,,,1,,,,1,,,City
0223,,,1,,1,1,1,,,City
0224,,,2,1,,,3,,,City
0225,,,1,2,,,2,,1,City
0226,,,,,1,1,1,,,City
0227,,,,,,,1,1,,City
0228,,,1,,,,1,,,City
0229,,,3,3,1,,4,,,City
0230,,,2,2,,,2,,,City
0231,,,,,,,2,,,City
0232,,,3,2,,,5,,1,City
0233,,,3,1,,,3,,,City
0234,,,2,2,,,2,,,City
0235,,,4,2,,,5,,,City
0236,,,1,1,,,2,,,City
0237,,,1,1,,,1,,,City
0238,,,,,,,1,,,City
0239,,,,,1,,1,,,City
0240,,,2,2,,,4,,,City
0241,,,,,,,5,,,City
0242,,1,1,2,,,2,,1,City
0243,,,2,2,,,2,,2,City
0244,,,9,8,,,11,,,City
0245,,,4,4,,,,,3,City
0246,,,2,4,,,5,,,City
0247,,,8,7,,,8,,,City
0248,,,,,,,1,,,City
0249,,,1,1,,,1,,,City
0250,,,8,7,,,8,,,City
0251,,,1,,,,2,,,City
0252,,,4,2,,,3,2,,City
0253,,,,,,,2,,,City
0254,,,2,1,,,4,,,City
0255,,,1,1,1,,2,,,City
0256,,,,,,,2,,,City
0257,,,,,,,2,,,City
0258,,,6,4,,,7,,1,City
0259,,,2,1,,,2,,1,City
0260,,,1,1,1,,2,,2,City
0261,,,6,4,2,1,,6,,City
0262,,,1,,1,1,1,,,City
0263,,,1,1,,,1,,,City
0264,,,3,2,,,4,,,City
0265,,,1,,,,1,,,City
0266,,,4,3,,,6,,,City
0267,,,1,,1,,2,,,City
0268,,1,,,,,1,,,City
0269,,,1,,,,1,,,City
0270,,,,,,,2,,,City
0271,,,1,,,,1,,,City
0272,,,1,1,,,2,,,City
0273,,,2,2,,,3,,,City
0274,,,,,,,1,,1,City
0275,,,,,,,4,,,City
0276,,,1,1,1,,2,,,City
0277,,,,,,,1,3,,City
0278,,,1,1,,,,2,,City
0279,,,1,1,,,2,,1,City
0280,,,1,,,,1,,,City
0281,,,5,4,,,5,,,City
0282,,,1,,,,4,,,City
0283,,,5,4,,,7,,,City
0284,,,,,1,1,1,,,City
0285,,,4,4,,,6,,,City
0286,,,1,,,,1,,,City
0287,,,1,,,,1,,,City
0288,,,6,6,,,7,,,City
0289,,,1,,,,2,,,City
0290,,,2,2,,,2,,,City
0291,,,1,1,,,2,,,City
0292,,,,,,,1,,,City
0293,,,,,,,1,,,City
0294,,,,,,,2,,,City
0295,,,2,2,,,2,,,City
0296,,,1,,,,1,,,City
0297,,,,,,,1,,,City
0298,,,4,3,,,4,,,City
0299,,,1,1,,,1,,,City
0300,,,,,,,,,,City
0301,,,3,2,2,1,5,,1,City
0302,,,1,,,,1,,,City
0303,,,2,1,1,,4,,,City
0304,,,5,5,,,5,,,City
0305,,,5,5,,,5,,,City
0306,,,1,1,,,1,,1,City
0307,,,2,,1,,3,,,City
0308,,,1,1,1,1,2,,1,City
0309,,,4,3,,,4,,,City
0310,,,5,5,1,,5,,2,City
0311,,,7,7,,,7,,,City
0312,,,,,1,1,2,,,City
0313,,,4,5,,,5,,,City
0314,,,4,5,,,5,,,City
0315,,,1,1,,,3,,,City
0316,,,1,1,1,1,2,,,City
0317,,,2,1,,,2,,,City
0318,,,1,1,,,2,,,City
0319,,,4,3,,,6,,3,City
0320,,,2,2,,,2,,,City
0321,,,1,1,1,1,4,,,City
0322,,,2,1,,,2,,1,City
0323,,,,,1,,1,,1,City
0324,,,,,2,,2,,,City
0325,,,2,2,,,8,,1,City
0326,1,,4,4,,,2,,,City
0327,,,1,1,,,1,,,City
0328,,,7,6,1,1,12,,,City
0329,,,5,5,1,,5,,1,City
0330,,,6,5,,,5,,,City
0331,,,7,5,,,8,,,City
0332,1,,3,3,1,,6,,1,City
0333,,,1,1,,,2,2,,City
0334,,,1,2,,,2,,1,City
0335,,,1,1,,,,1,,City
0336,,,,,,,,3,,City
0337,,,1,1,,,1,2,,City
0338,,,1,1,,,,1,,City
0339,1,1,3,2,,,3,,,City
0340,1,,1,1,,,,,,City
0341,,,,,1,,2,,,City
0342,,,,,1,,3,,,City
0343,,,,,1,,2,,,City
0344,,,3,1,,,,,,City
0345,,,2,,,,,,,City
0346,1,,3,,,,1,2,,City
0347,1,,1,1,,,4,,,City
0348,1,,1,1,,,3,,,City
0349,1,,4,2,,,3,,,City
0350,,1,2,,,,2,,,City
0351,1,,2,2,,,2,,,City
0352,,,,,,,,1,,City
0353,1,1,1,,,,,,,City
0354,1,,2,1,,,6,,,City
0355,,,1,1,,,3,,,City
0356,,,1,,,,3,,3,City
0357,1,,1,,1,,1,3,,City
0358,,,,,,,1,,,City
0359,,,,,,,3,,,City
0360,1,,3,2,,,3,,,City
0361,,,2,2,,,4,,,City
0362,,,2,,2,,2,,,City
0363,,,3,,2,,,,,City
0364,,,1,1,,,1,,,City
0365,,,1,1,,,4,,1,City
0366,,,5,5,1,1,6,,,City
0367,,,1,,,,1,,,City
0368,,,1,,,,2,,,City
0369,,,1,,1,,2,,,City
0370,,,1,,,,1,,,City
0371,,,3,1,,,6,,,City
0372,,,1,,,,1,,,City
0373,,,7,7,,,8,,,City
0374,,,7,6,1,,8,,1,City
0375,,,3,3,,,3,,,City
0376,,,1,1,,,2,,,City
0377,,,,,4,,6,,,City
0378,1,,4,3,,,5,,1,City
0379,,,1,,,,5,,,City
0380,,,4,2,,,5,,,City
0381,,,2,1,,,3,,,City
0382,,,1,,1,,2,,,City
0383,,,8,8,2,2,10,,,City
0384,,,4,3,2,1,5,,5,City
0385,,,2,1,,,2,,2,City
0386,,,9,9,,,9,,,City
0387,,,1,,,,2,,1,City
0388,,,2,,,,4,,,City
0389,,,5,4,,,4,,,City
0390,,,,,,,7,,,City
0391,,,,,,,1,,,City
0392,,,3,3,,,5,,,City
0393,2,,3,2,,,4,1,,City
0394,,,3,1,,,,,,City
0395,2,,4,,,,3,2,,City
0396,,,,,,,1,,,City
0397,,,1,1,,,2,,,City
0398,,,1,3,,,4,,,City
0399,,,2,2,1,,2,,,City
0400,,,2,1,,,3,,,City
0401,,,1,,,,2,,,City
0402,,,2,,,,4,,,City
0403,,,1,,,,,3,,City
0404,,,1,,1,,,4,,City
0405,,,7,7,,,10,,6,City
0406,,,1,,,,2,,,City
0407,,,2,1,1,,4,,,City
0408,1,,1,1,,,3,,,City
0409,4,,4,1,1,,4,,,City
0410,,,2,1,,,2,,,City
0411,,,2,1,1,,3,,,City
0412,,,4,3,,,4,,,City
0413,,,,,1,,1,,,City
0414,,,3,1,,,4,,,City
0415,,,2,,,,4,,,City
0416,,,1,1,,,4,,,City
0417,,,2,,,,12,,,City
0418,,,1,1,,,3,,,City
0419,,,1,1,1,1,1,,,City
0420,,,2,1,,,3,,,City
0421,,,1,,,,1,,,City
0422,,,1,1,,,1,,,City
0423,,,1,,,,1,,,City
0424,,,1,,,,1,,,City
0425,,,2,2,,,2,,,City
0426,,,2,2,,,2,,,City
0427,,,,,,,3,,,City
0428,,,4,1,6,,7,,,City
0429,,,1,1,,,2,,,City
0430,,,3,1,,,3,,,City
0431,1,,,,,,1,,,City
0432,,,4,3,,,4,,,City
0433,,,,,,,2,,,City
0434,,,,,1,,3,,,City
0435,,,3,1,,,3,,,City
0436,,,,,,,3,,,City
0437,,,2,1,,,4,,,City
0438,,,1,1,,,1,1,,City
0439,,,1,,,,1,,,City
0440,,,,,,,3,,,City
0441,1,,,,,,3,1,,City
0442,,,2,,,,2,,1,City
0443,,,2,2,,,2,,1,City
0444,,,3,2,,,7,,,City
0445,,,1,1,,,1,,,City
0446,,,2,1,,,2,,,City
0447,1,,1,1,1,,4,,,City
0448,1,,1,1,,,3,,,City
0449,,,2,1,,,2,,,City
0450,,,2,1,,,2,,,City
0451,,,1,,1,,4,,,City
0452,,,2,1,1,,4,,,City
0453,,,10,7,1,1,10,,,City
0454,,,,,1,,1,,,City
0455,,,2,1,1,,2,,,City
0456,,,2,,1,1,4,,,City
0457,,,1,,,,2,,,City
0458,,,1,,,,1,,,City
0459,,,1,,,,1,,,City
0460,,,2,1,,,5,,,City
0461,,,2,,,,3,,,City
0462,,,4,3,,,4,,,City
0463,,,,,,,1,,,City
0464,,,,,,,,1,,City
0465,,,,,,,1,,,City
0466,,,3,1,,,5,,,City
0467,,,4,4,,,5,,,City
0468,,,4,4,1,,5,,,City
0469,,,3,2,,,3,,,City
0470,,,6,4,1,,6,,,City
0471,,,1,1,,,1,,,City
0472,1,,1,1,,,,1,,City
0473,,,,,,,,1,,City
0474,,,,,,,,1,,City
0475,,,,,,,1,,,City
0476,,,,,,,,,,City
0477,,,4,4,,,4,,,City
0478,,,3,2,1,,6,,,City
0479,,,,,1,,,,,City
0480,,,,,,,2,,,City
0481,,,2,,3,1,6,,,City
0482,,,2,,,,2,1,,City
0483,1,,,,,,3,,,City
0484,1,,,,,,2,,,City
0485,,,3,2,,,7,,,City
0486,1,,2,,,,2,1,,City
0487,,,1,,,,5,,,City
0488,,,1,1,,,1,,,City
0489,,,,,,,2,,,City
0490,1,,5,,2,,5,,,City
0491,,,3,1,1,,1,,,City
0492,,,,,,,1,,,City
0493,1,,1,1,,,1,1,,City
0494,,,1,,,,2,,,City
0495,,,1,,,,2,,,City
0496,,,1,,,,6,,,City
0497,,,1,,1,,1,,,City
0498,2,,3,2,,,4,,,City
0499,,,1,,,,1,3,,City
0500,,,1,1,,,4,,,City
0501,,,1,,,,,1,,City
0502,,,3,2,,,8,,,City
0503,,,2,1,1,,,2,,City
0504,,,2,1,,,1,,,City
0505,1,1,2,,,,3,1,,City
0506,1,,,,,,,4,,City
0507,,,2,,,,2,,,City
0508,,,2,1,,,1,1,,City
0509,,,1,1,1,,3,1,,City
0510,,,1,1,1,,3,,,City
0511,,,1,,,,2,3,,City
0512,,,1,1,,,3,,1,City
0513,,,1,,,,2,,1,City
0514,,,2,,,,3,2,,City
0515,,,4,2,,,2,1,,City
0516,,,2,2,,,2,1,,City
0517,1,,2,,,,4,,,City
0518,3,,2,,,,5,,,City
0519,,,1,1,,,3,,,City
0520,,,,,,,,,,City
0521,,,,,,,,,,City
0522,,,1,1,,,4,,,City
0523,,,1,,,,2,,,City
0524,1,,,,,,4,,,City
0525,,,2,2,1,1,2,,,City
0526,,,,,,,1,,,City
0527,,,2,1,,,3,,,City
0528,,,1,,,,1,,,City
0529,,,2,,,,3,,,City
0530,,,2,1,,,2,,1,City
0531,,,3,2,,,3,,,City
0532,,,2,2,,,2,,,City
0533,,,1,1,,,1,,,City
0534,,,1,1,,,2,,,City
0535,,,2,2,,,2,,,City
0536,,,2,,,,3,,,City
0537,,,2,,1,,2,,,City
0538,,,1,,,,2,,,City
0539,,1,1,1,,,2,,,City
0540,,,2,1,,,2,,,City
0541,,,,,,,1,,,City
0542,,,2,1,,,4,,2,City
0543,,,2,1,,,4,,,City
0544,,,1,,,,2,,,City
0545,,,6,5,1,,9,,,City
0546,,,2,2,,,2,,,City
0547,1,,,,,,,2,,City
0548,,,,,,,,1,,City
0549,,,1,,,,3,,,City
0550,,,2,1,,,3,1,,City
0551,1,,1,,,,,2,,City
0552,,,2,1,1,,3,1,,City
0553,,,2,2,,,2,,,City
0554,,,,,1,,1,,,City
0555,,,,,,,1,,,City
0556,,,3,1,,,3,,,City
0557,,,1,,,,2,,,City
0558,,,1,,,,2,,,City
0559,,,,,,,3,,,City
0560,,,3,,1,,9,,,City
0561,,,1,,1,,9,,,City
0562,,,,,,,2,,,City
0563,,,1,,,,1,,,City
0564,,,,,1,,,4,,City
0565,,,1,,,,1,,,City
0566,,,1,,,,,1,,City
0567,,,2,,,,2,,,City
0568,,,,,,,2,,,City
0569,,,3,2,,,4,,,City
0570,,,,,,,3,,,City
0571,,,,,,,,3,,City
0572,,,2,1,2,2,3,,,City
0573,,,2,1,,,2,,,City
0574,,,1,1,2,2,2,,,City
0575,,,,,1,,6,,,City
0576,,,2,1,,,2,,,City
0577,1,,3,3,1,,3,,,City
0578,,,2,,1,,3,,,City
0579,,,,,,,1,,,City
0580,,,1,,1,,2,,,City
0581,,,1,,,,2,,,City
0582,,,3,2,,,5,,,City
0583,,,2,1,,,2,,,City
0584,,,2,1,,,3,,,City
0585,,,3,1,4,1,6,,1,City
0586,,,,,,,2,1,,City
0587,,,1,,,,1,,,City
0588,1,,1,,,,,2,,City
0589,,,1,,,,,,,City
0590,,,,,,,,,,City
0591,,,,,,,2,,,City
0592,,,3,2,,,3,,,City
0593,,,2,1,,,2,,,City
0594,,,1,,1,,2,,,City
0595,1,,1,1,,,2,,,City
0596,,,,,,,,2,,City
0597,,,3,2,,,6,,1,City
0598,,,1,1,,,4,,,City
0599,,,1,,,,3,,,City
0600,,,2,,,,1,1,,City
0601,1,,,,3,,2,,,City
0602,1,,6,6,,,6,,,City
0603,,,1,,,,2,,,City
0604,,,1,,2,,4,,,City
0605,,,1,1,,,3,,,City
0606,,,3,2,1,,3,1,,City
0607,,,3,,2,1,7,,,City
0608,,,,1,2,,2,,,City
0609,,,6,1,2,2,8,,,City
0610,,,,,1,,2,,,City
0611,,,1,,1,,4,,,City
0612,,,,,,,2,,,City
0613,,,1,,,,3,,,City
0614,1,,3,3,,,2,1,,City
0615,,,2,2,,,1,1,,City
0616,,,2,,,,1,3,,City
0617,,,,,1,,1,1,,City
0618,1,,2,,,,5,,,City
0619,,,,,,,,2,1,City
0620,,,2,,,,2,,,City
0621,,,2,2,,,2,,2,City
0622,,,1,,,,1,,,City
0623,,,1,,,,3,,1,City
0624,,,,,,,1,,,City
0625,,,1,,,,1,,,City
0626,,,2,2,,,2,,,City
0627,,,2,,,,2,,,City
0628,,,1,,,,1,,,City
0629,,,,,,,3,,,City
0630,2,,2,1,,,6,,,City
0631,,,2,1,1,1,5,,,City
0632,,,,,3,1,3,,,City
0633,,,,,,,2,,1,City
0634,,,,,,,2,,1,City
0635,,,1,1,1,,1,,,City
0636,,,1,1,,,1,,,City
0637,,,2,,1,,1,,,City
0638,1,,2,,,,2,,,City
0639,,,3,2,,,,,,City
0640,,,1,1,,,3,,,City
0641,,,1,1,,,5,,,City
0642,,,1,1,,,1,1,,City
0643,,,1,1,,,2,,,City
0644,,,5,,,,3,,,City
0645,,,,,1,,3,,,City
0646,,,0,1,,,3,1,,City
0647,,,3,2,1,,4,,,City
0648,1,,2,1,,,2,1,,City
0649,,,2,1,,,3,,,City
0650,,,2,2,,,7,2,,City
0651,,,1,,,,1,1,,City
0652,,,3,1,,,4,,4,City
0653,,,3,2,,,,3,,City
0654,,,3,1,,,3,,3,City
0655,,,1,1,1,,,2,1,City
0656,,,1,1,,,3,,,City
0657,,,1,,,,,,,City
0658,,,2,2,,,2,,,City
0659,,,1,,,,1,,,City
0660,,,,,,,1,,,City
0661,1,,,,,,2,,1,City
0662,,,,,,,3,,,City
0663,1,,1,1,,,2,1,,City
0664,,,2,,,,5,,,City
0665,,,4,2,1,,5,,,City
0666,,,1,1,,,2,,,City
0667,,,1,,,,2,,,City
0668,,,2,1,,,1,,,City
0669,1,,2,1,,,1,,,City
0670,,,3,3,,,3,,,City
0671,,,3,3,,,3,,,City
0672,,,2,1,1,,3,,,City
0673,,,1,1,,,3,,,City
0674,,,2,2,,,2,,1,City
0675,,,3,1,,,5,,,City
0676,,,2,1,,,3,,,City
0677,,,1,1,,,1,,,City
0678,,,3,3,,,5,,,City
0679,,,1,1,,,2,,,City
0680,,,5,2,,,5,2,,City
0681,1,,1,1,3,1,3,,,City
0682,,,,,,,2,,,City
0683,,,,,,,2,,,City
0684,,,2,1,,,2,,1,City
0685,,,1,1,1,1,1,1,,City
0686,,,1,,,,3,,,City
0687,,,5,4,,,7,,1,City
0688,,,,,,,4,,,City
0689,,,,,1,1,2,,,City
0690,,,1,,,,1,,,City
0691,1,,1,,,,1,3,1,City
0692,,,4,1,,,8,1,6,City
0693,,,3,2,,,,,,City
0694,,,1,1,3,,3,,,City
0695,,,2,,,,3,,,City
0696,,,1,1,,,2,2,,City
0697,,,,,1,1,2,1,,City
0698,,,8,8,2,,7,,,City
0699,,,1,,,,1,1,,City
0700,,,,,,,5,1,,City
0701,,,2,,,,4,,,City
0702,,,,,,,1,,,City
0703,,,,,,,1,3,,City
0704,,,1,,,,3,,,City
0705,,,1,,,,1,,,City
0706,,,,,,,,2,,City
0707,,,1,1,,,2,,,City
0708,,,,,,,1,,,City
0709,,,7,1,3,,5,2,,City
0710,,,3,1,1,,5,2,,City
0711,,,4,4,1,,5,,,City
0712,,,4,3,1,1,7,,,City
0713,,,2,1,,,2,,,City
0714,,,,,,,1,,,City
0715,,,3,2,,,4,,,City
0716,,,,,,,,,,City
0717,,,2,,,,2,,,City
0718,,,1,,,,2,,,City
0719,,,2,2,,,2,,,City
0720,,,1,1,,,1,1,,City
0721,,,5,5,,,8,,,City
0722,,,,,,,2,,,City
0723,,,2,2,,,2,,,City
0724,,,6,,,,6,1,,City
0725,1,,1,1,,,,,,City
0726,,,3,3,,,4,,,City
0727,,,1,1,,,,,,City
0728,,,2,1,3,1,5,,,City
0729,,,1,,,,3,,,City
0730,,,3,2,,,3,,2,City
0731,,,,1,1,,1,1,,City
0732,,,,,2,,5,,1,City
0733,2,,2,1,1,1,3,,,City
0734,,,2,,,,2,,1,City
0735,,,1,1,,,1,,,City
0736,,,3,3,,,5,,,City
0737,,,1,1,,,2,,,City
0738,,,1,1,,,2,3,,City
0739,,,4,2,,,5,,,City
0740,,,2,2,,,2,,,City
0741,,,2,,1,,2,,1,City
0742,,,1,1,,,2,,,City
0743,,,2,2,,,,,,City
0744,,,,,,,1,,,City
0745,,,1,,1,,3,,,City
0746,,,1,1,,,2,,,City
0747,,,2,2,,,3,,1,City
0748,,,2,1,,,5,,,City
0749,1,,1,,,,,2,,City
0750,,,5,3,2,,5,,1,City
0751,,,4,1,,,4,,,City
0752,,,1,,,,1,,,City
0753,,,2,1,,,2,,,City
0754,,,2,2,3,,3,,,City
0755,,,1,1,,,2,,,City
0756,,,5,5,1,1,8,,,City
0757,,,4,3,,,11,,1,City
0758,,,,,,,2,,,City
0759,,,3,3,,,3,4,,City
0760,,,,,1,1,1,,,City
0761,,,,,,,1,2,,City
0762,,,2,2,,,3,,,City
0763,1,,1,1,,,,1,,City
0764,,,,,,,3,,,City
0765,,,1,1,,,3,,,City
0766,,,3,2,,,6,,1,City
0767,,,6,6,,,6,,,City
0768,,,4,3,1,1,4,,,City
0769,1,,2,1,,,2,1,,City
0770,,,1,,,,3,,,City
0771,,,1,1,,,3,,,City
0772,,,,,,,5,,,City
0773,,,3,2,,,3,,,City
0774,,,1,1,,,1,,,City
0775,,,2,2,,,3,,,City
0776,,,2,2,,,,2,,City
0777,,,2,1,,,3,,,City
0778,,,1,,,,2,,,City
0779,,,,,1,,6,,,City
0780,,,2,1,,,3,,,City
0781,,,2,2,,,5,,,City
0782,,,1,1,,,3,,,City
0783,,,2,2,,,,,,City
0784,,,1,1,,,1,,,City
0785,,,5,3,,,7,,1,City
0786,,,2,1,,,2,,,City
0787,,,4,3,,,4,,,City
0788,,,3,1,,,3,,,City
0789,,,2,2,,,3,,,City
0790,,,1,,,,1,,,City
0791,,,7,6,,,7,,,City
0792,1,,2,2,,,3,,,City
0793,,,5,5,,,7,,,City
0794,,,1,1,,,3,,,City
0795,,,2,2,,,2,,,City
0796,,,5,5,,,5,,2,City
0797,,,,,,,1,,,City
0798,,,,,1,,1,,,City
0799,,,3,1,,,6,,,City
0800,,,1,,1,1,1,,,City
0801,,,,,1,,1,,,City
0802,,,1,1,,,1,,,City
0803,,,2,2,,,2,,1,City
0804,,,4,3,1,1,5,,,City
0805,,,2,,,,3,,,City
0806,,,1,1,1,,3,,,City
0807,,,3,3,1,,4,,,City
0808,,,1,1,,,2,,,City
0809,,,3,3,,,5,,,City
0810,,,2,1,,,3,,,City
0811,,,2,1,,,1,1,,City
0812,,,1,,,,2,,,City
0813,,,1,,,,4,,,City
0814,,,5,2,,,9,,1,City
0815,,,1,,,,1,,,City
0816,,,,,,,1,,,City
0817,,,1,,,,1,,,City
0818,,,,,2,1,2,,,City
0819,,,1,1,1,,3,,,City
0820,,,,,,,1,1,,City
0821,,,,,,,4,,1,City
0822,,,1,1,,,1,,,City
0823,,,3,3,1,1,3,,1,City
0824,,,2,1,,,2,,,City
0825,,,2,1,,,3,,,City
0826,,,2,1,1,,1,1,,City
0827,,,,,1,,2,,,City
0828,,,1,1,,,1,,,City
0829,,,,,,,,,,City
0830,,,1,1,1,,2,,,City
0831,,,3,1,1,,3,,,City
0832,1,,1,,2,,2,,,City
0833,,,2,1,1,,4,,,City
0834,,,3,2,,,4,,1,City
0835,,,1,,,,1,,1,City
0836,,,4,2,1,,6,,,City
0837,,,,,,,2,,1,City
0838,,,1,,,,2,,,City
0839,,,1,1,,,2,,,City
0840,,,,,,,,,,City
0841,,,1,1,,,2,,,City
0842,,,2,1,,,3,,,City
0843,,,1,1,,,,,,City
0844,,,6,4,,,5,,,City
0845,,,4,4,,,4,,,City
0846,,,,,,,2,,1,City
0847,,,4,,,,4,,,City
0848,,,4,3,,,4,,,City
0849,,,2,1,,,2,,,City
0850,,,1,,,,2,,,City
0851,,,1,,,,2,,,City
0852,,,1,1,,,1,,,City
0853,,,1,1,,,2,,,City
0854,1,,2,1,,,2,,,City
0855,1,,10,3,,,5,8,,City
0856,,,3,1,,,3,,,City
0857,,,2,,,,2,,,City
0858,,,3,1,,,5,,,City
0859,,,2,,,,2,,,City
0860,,,3,1,,,5,,,City
0861,,,7,7,,,7,,2,City
0862,,,1,1,,,1,,1,City
0863,,,1,,,,1,,,City
0864,,,5,3,1,,6,,1,City
0865,,,3,3,1,1,4,,1,City
0866,,,3,3,,,3,,,City
0867,,,3,1,,,3,,,City
0868,,,2,2,3,3,4,,,City
0869,,,1,,,,2,,,City
0870,,,2,1,,,2,,,City
0871,,,5,4,,,5,,,City
0872,,,1,,,,2,,,City
0873,,,1,,,,1,,,City
0874,,,,,,,2,,,City
0875,,,,,,,2,,,City
0876,,,,,1,,2,,,City
0877,,,2,1,1,1,2,,,City
0878,,,1,1,,,2,,1,City
0879,,,,,,,3,,,City
0880,,,,,1,1,1,,,City
0881,,,1,,,,1,,,City
0882,,,1,1,1,1,2,,,City
0883,,,,,,,4,2,,City
0884,,,,,,,,4,,City
0885,2,,2,,,,,5,,City
0886,,,,,1,,,4,,City
0887,,,,,,,1,,,City
0888,,,,,,,,3,,City
0889,,,3,2,,,2,3,,City
0890,,,1,1,,,2,,,City
0891,,,2,2,,,3,,,City
0892,,,1,1,1,,3,,,City
0893,,,2,2,,,2,,,City
0894,,,,,1,,,1,,City
0895,,,2,1,,,3,,,City
0896,,,4,2,1,,3,2,,City
0897,,,1,1,2,,2,,,City
0898,,,,,1,,2,,,City
0899,,,2,2,,,5,,,City
0900,,,2,2,,,3,,,City
0901,,,1,,,,2,,,City
0902,,,1,1,,,2,,,City
0903,,,1,,,,,1,,City
0904,,,,,2,,2,,,City
0905,,,,,,,,4,,City
0906,,,5,2,,,5,,,City
0907,,,1,,,,4,,,City
0908,,,3,,,,5,,,City
0909,,,1,,,,1,,,City
0910,,,1,1,,,,,,City
0911,,,2,,,,2,2,,City
0912,,,3,,,,4,,,City
0913,,,2,,,,,2,,City
0914,,,1,,,,2,,,City
0915,,,2,1,1,,2,,,City
0916,,,2,1,,,1,1,,City
0917,,,,,,,2,,,City
0918,,,5,5,,,5,,1,City
0919,,,1,,,,2,,,City
0920,,,,,,,1,,,City
0921,,,1,1,,,3,,,City
0922,,,2,2,,,3,,,City
0923,,,3,,,,6,,1,City
0924,,,,,1,1,1,,,City
0925,,,,,,,2,1,,City
0926,,,2,2,1,,4,,,City
0927,,,5,2,,,5,,,City
0928,,,1,1,,,1,1,,City
0929,,,1,,,,2,,,City
0930,1,1,1,1,,,,,,City
0931,,,,,1,,1,,,City
0932,,,4,3,,,4,,,City
0933,,,,,,,1,,,City
0934,,,2,,,,3,,,City
0935,,,,,,,,,2,City
0936,,,,,1,,1,,,City
0937,,,,,,,1,,,City
0938,,,1,1,,,2,,,City
0939,,,4,2,,,6,,,City
0940,,,2,1,,,2,,,City
0941,,,1,,,,1,,,City
0942,,,2,2,1,1,3,,,City
0943,,,2,2,,,2,,,City
0944,,,,,,,1,,,City
0945,,,4,1,,,6,,,City
0946,,,4,,,,4,,,City
0947,,,2,,,,2,,,City
0948,,,,,,,1,,,City
0949,,,1,,,,4,,,City
0950,,,2,1,,,4,,,City
0951,,,1,,,,4,,,City
0952,,,,,,,,,,City
0953,,,,,,,1,,,City
0954,,,1,1,,,1,,,City
0955,,,6,4,,,6,,1,City
0956,,,2,,2,,2,,,City
0957,,,1,,2,,2,,,City
0958,,,1,,,,1,,,City
0959,,,,,1,,2,,,City
0960,,,3,,,,3,,,City
0961,,,1,1,,,2,,,City
0962,,,3,2,,,2,3,,City
0963,,,1,,,,1,,,City
0964,,,1,,,,1,,,City
0965,,,,,,,,1,,City
0966,,,2,1,,,2,,,City
0967,,,1,,,,2,,,City
0968,,,3,2,,,3,,,City
0969,,,1,,1,,2,,0,City
0970,,,2,,,,2,,,City
0971,,,1,,1,,2,,1,City
0972,,,1,,1,,2,,,City
0973,,,1,,,,1,,,City
0974,,,2,2,,,2,,,City
0975,,,1,,2,,1,2,,City
0976,,,,,1,,1,,,City
0977,,,1,1,,,2,,,City
0978,,,1,1,,,2,,,City
0979,,,4,2,,,2,4,,City
0980,,,1,1,,,1,,,City
0981,1,,1,,,,2,1,,City
0982,,,1,,1,,2,,,City
0983,,,,,,,,,,City
0984,,,1,,,,1,,,City
0985,,,,,1,,4,,,City
0986,,,2,1,,,1,1,1,City
0987,,,3,2,,,3,2,,City
0988,,,4,4,,,,,1,City
0989,,,1,1,1,,2,,,City
0990,2,,2,1,1,,1,1,,City
0991,,,1,,,,1,2,,City
0992,,,1,1,1,,2,,,City
0993,,,3,2,,,4,,,City
0994,,,1,1,,,1,,,City
0995,,,2,2,,,3,,,City
0996,,,,,1,,1,,,City
0997,,,5,3,,,9,,,City
0998,,,5,1,1,1,6,,,City
0999,,,,,,,1,,,City
1000,,,5,5,,,4,2,,City
1001,,,1,1,,,2,,,City
1002,,,4,3,,,4,,,City
1003,,,,,2,,2,,,City
1004,,,2,1,1,,2,,,City
1005,,,1,,,,1,,,City
1006,,,4,4,,,4,,,City
1007,,,7,7,,,8,,,City
1008,,,5,5,,,5,,,City
1009,,,2,2,,,2,,,City
1010,,,1,,,,3,,,City
1011,,,2,1,,,3,2,,City
1012,,,1,1,,,2,,,City
1013,,,4,2,,,5,,,City
1014,,,3,2,,,4,,,City
1015,,,4,3,,,4,,,City
1016,,,2,2,,,2,,,City
1017,,,4,3,,,6,,,City
1018,,,2,1,2,2,3,,,City
1019,,,1,,,,1,,,City
1020,,,2,1,,,2,,,City
1021,,,5,4,1,1,6,,,City
1022,,,2,1,,,7,,,City
1023,,,4,2,1,,5,,,City
1024,,,4,3,,,4,,,City
1025,,,3,3,,,3,,,City
1026,,,5,5,,,5,,,City
