ID,OCCUPATION,COUNT
977,laborer ,1
978,null,null
979,null,null
980,null,null
981,hod carrier ,1
982,null,null
983,null,null
984,null,null
985,null,null
986,porter ,1
987,drives dray ,1
988,scourer ,1
988,public waiter ,1
989,null,null
990,waiter ,1
991,seaman ,1
992,null,null
993,bricklayer ,1
994,null,null
995,waters ,2
996,null,null
997,waiter ,1
997,barber ,1
998,clothes dealer ,1
999,null,null
1000,private watchman ,1
1000,seamen ,2
1001,null,null
1002,cabinet maker now porter ,1
1003,not able ,1
1004,various ,1
1005,null,null
1006,not able ,1
1007,shoemk ,1
1007,barber ,1
1008,barber ,2
1009,public waiter ab ,1
1010,hod carrier ,1
1010,in summer ,1
1011,coachman ,1
1012,null,null
1013,sexton ,1
1014,shoemaker ,1
1015,porter ,1
1016,laborer ,1
1017,lab in sugar house ,1
1018,wood sawyer ,1
1019,null,null
1020,waiter ,1
1021,steward ,1
1021,boatman ,1
1022,waiter ,1
1023,bootmaker ,1
1024,seaman ,1
1025,clothes dealer ,1
1026,oyster house ,1
1026,traveling preacher ,1
1027,waiter ,1
1028,null,null
1029,seaman when able ,1
1030,porter ,1
1031,null,null
1032,seaman ,1
1033,shoem ,1
1034,lab ,1
1034,waiter ,1
1034,muscian ,1
1035,cooks ,2
1036,barber ,1
1037,cake seller ,1
1037,barber ,1
1038,shoemaker ,1
1038,janitor ,1
1038,seeking business ,2
1039,waiter ,1
1040,idle ,1
1040,cake baker ,1
1041,coachman ,1
1041,teacher ,1
1042,null,null
1043,null,null
1044,null,null
1045,waiter ,1
1046,not able ,1
1047,seaman ,1
1047,waiter ,1
1048,null,null
1049,porter ,2
1050,lab ,1
1050,waiter ,1
1051,white washer ,1
1052,white washer ,1
1053,oyster peddler ,1
1054,coachman ,1
1055,drives cart ,1
1056,null,null
1057,null,null
1058,bootm ab ,1
1059,bootmakers ,2
1060,null,null
1061,null,null
1062,shop keeper ,1
1063,null,null
1064,w washer ab ,1
1065,null,null
1066,seaman ,1
1067,seaman ,1
1068,laborer ,1
1069,porter ,1
1069,box dealer ,1
1070,barber ,1
1070,seaman ,1
1071,seaman ,2
1072,hod carrier ,1
1073,various ,1
1074,stevedore ,1
1075,waiter ,2
1075,coachman ,1
1075,wood sawyer ,2
1076,boatman ,1
1077,laborer ,1
1078,watchman ,1
1079,boot cleaners ,2
1080,cook ,1
1081,porter ,1
1082,laborer ,1
1083,laborer ,1
1084,laborer ,1
1085,null,null
1086,herb doctor ,1
1087,coachman ,1
1088,waiter ,1
1089,null,null
1090,waiter ,1
1091,null,null
1092,null,null
1093,dealer ,1
1093,boot maker ,1
1094,carpenter ,1
1095,null,null
1096,null,null
1097,clothes dealer ,1
1097,porter ,1
1098,seaman ,1
1099,barber ,6
1100,null,null
1101,null,null
1102,null,null
1103,shoe maker ,1
1104,brickmoulder ,1
1105,gardner ,1
1106,collecter ,1
1107,oyster house ,1
1108,laborer ,1
1109,herb doctor ,1
1110,porter ,1
1111,null,null
1112,porter ,1
1113,null,null
1114,umbrella maker ,1
1115,laborer ,2
1116,null,null
1117,lab ,1
1118,carter his own ,1
1119,stevedore ,1
1120,seaman ,1
1121,null,null
1122,null,null
1123,wood sawyer ,1
1124,porter ,1
1125,null,null
1126,hod carrier ,1
1127,null,null
1128,clothes dealer ab ,1
1129,poeter ,1
1130,stevedore ,1
1131,waiter ,1
1132,null,null
1133,null,null
1134,porter ,1
1134,waiter ,1
1135,seaman ,1
1136,null,null
1137,coachman ,1
1138,null,null
1139,null,null
1140,waiter ,1
1141,waterman ,1
1142,laborer ,1
1143,porter ,1
1144,porter ,1
1144,waiter ,1
1145,null,null
1146,null,null
1147,null,null
1148,null,null
1149,null,null
1150,null,null
1151,porter ,1
1152,waiter ,1
1153,null,null
1154,null,null
1155,porter ,1
1156,traveling preacher ,1
1157,waiter ,1
1158,waiter ,1
1159,ship carpenter ,1
1160,stevedore ,1
1161,null,null
1162,null,null
1163,null,null
1164,seaman ,1
1165,porter ,1
1166,waiter ,1
1167,null,null
1168,seaman ,1
1169,null,null
1170,null,null
1171,white washer ,1
1172,null,null
1173,null,null
1174,sexton ,1
1175,null,null
1176,herb doctor ,1
1177,null,null
1178,puts in coal ,1
1179,sail maker ,1
1180,musician ,1
1181,musician ,1
1182,seaman ,1
1182,carter his own ,1
1183,waiter ,2
1184,drives fur car ,1
1185,seaman ,1
1186,hod carrier ,1
1187,hack driver ,1
1188,waterman ,1
1189,waiter ,1
1190,null,null
1191,null,null
1192,null,null
1193,null,null
1194,waiter ,1
1195,null,null
1196,null,null
1197,wood sawyer ,1
1198,laborer ,1
1199,laborer ,1
1200,null,null
1201,null,null
1202,null,null
1203,null,null
1204,null,null
1205,waterman ,1
1206,null,null
1207,null,null
1208,null,null
1209,null,null
1210,null,null
1211,null,null
1212,null,null
1213,waiter ,1
1214,laborer ,1
1215,dealer ,1
1216,dealer ,1
1217,boot cleaner ,1
1218,null,null
1219,waiter ,1
1220,huxter ,1
1221,laborer ,1
1222,laborer ,1
1223,null,null
1224,waiter ,1
1225,laborer ,2
1226,null,null
1227,stevedore ,1
1228,coachman ,1
1229,musician ,1
1230,null,null
1231,various ,1
1232,various ,1
1233,null,null
1234,null,null
1235,null,null
1236,cook ,1
1237,null,null
1238,null,null
1239,null,null
1240,steward ,1
1241,null,null
1242,barber ,1
1242,porter ,1
1243,null,null
1244,eating house ab ,1
1245,musician ,1
1246,puts in coal when able ,1
1247,null,null
1248,waiter ,1
1249,waterman ,1
1250,oyster peddler ,1
1251,laborer ,1
1252,laborer ,1
1253,laborer ,1
1254,null,null
1255,carterhis own ,1
1256,carpenter ,1
1257,drives dray ,1
1258,herb doctor ,1
1259,laborer ,2
1259,waiter ,1
1260,null,null
1261,null,null
1262,seaman ,1
1263,laborer ,1
1264,sail maker ,1
1265,waiter ,1
1265,laborer ,1
1266,carterhis own ,1
1267,null,null
1268,various ,1
1269,null,null
1270,not able ,1
1271,porter ,1
1271,waiter ,1
1272,null,null
1273,barber ,1
1274,porter ,1
1275,laborer ,2
1276,boot maker ,1
1277,huxter ,1
1278,seaman ,1
1279,null,null
1280,grocer ,1
1281,null,null
1282,not able ,1
1283,null,null
1284,null,null
1285,coachman ,1
1286,hod carrier ,2
1286,various ,1
1287,porter ,1
1288,laborer ,2
1288,cabman ,1
1289,laborer ,1
1290,oysterman ,1
1291,shoem ,1
1291,music teacher ,1
1292,shoem ,1
1293,seaman ,1
1294,null,null
1295,laborer ,1
1296,porter ,1
1297,null,null
1298,seaman ,1
1299,drives cart ,1
1300,porter ,1
1301,laborer ,1
