ID,OCCUPATION,COUNT
0530,dom duties ,1
0531,dom duties ,1
0531,dressmaker ,1
0532,days work sempstree irregular ,1
0533,null,null
0534,washer ,1
0535,days work ,1
0536,assists husband ,1
0537,quilter cant tell ,1
0538,washer ,1
0538,white washer cant tell ,1
0539,domestic duties ,1
0540,service ,1
0541,null,null
0542,days work ,1
0542,sempstress very dull ,1
0543,domestic duties ,1
0544,washer ,2
0545,washer ,1
0546,days work ,1
0546,sempstree uncertain ,1
0547,not able to work ,1
0548,various ,1
0549,service ,1
0550,days work ,1
0550,not able ,1
0551,days work ,1
0552,eating house ,1
0552,sempstress ,1
0553,null,null
0554,not able to work ,1
0555,days work almost nothing ,1
0556,null,null
0557,shirt maker ,1
0558,cake baker ,1
0559,days work very little ,2
0560,washer cant tell ,1
0561,washer dont know ,1
0562,washer cant tell ,1
0563,days work ,1
0564,days work ,1
0565,days work ,1
0566,days work ,1
0567,washer ,1
0568,days work ,1
0569,days work when can get it ,1
0570,washer ,1
0570,dressmaker ,1
0571,sempstress ,1
0572,shop keeper ,1
0573,dressm very little ,1
0574,domestic duties ,1
0575,days work ,1
0576,washer ,1
0577,null,null
0578,days work abt ,1
0579,huster ,1
0579,doubtful ,1
0580,washer ,1
0581,days work ,1
0582,days work ,1
0583,washer irregular ,1
0584,dom duties ,1
0585,assists husband ,1
0586,service commonly ,1
0587,washer ,1
0588,service ,1
0589,service ,1
0590,service ,1
0591,service ,1
0592,cook ,1
0593,dom duties ,1
0594,dom duties ,1
0595,cook ,1
0596,not able to work ,1
0597,washer ,2
0598,washer ,3
0599,washer ,1
0600,washer ,1
0601,washer very little ,1
0602,washer very little ,1
0603,days work when can get it ,1
0604,washer ,1
0605,null,null
0606,washer ,1
0607,washer cant tell ,1
0608,null,null
0609,various ,1
0610,days work ,1
0611,days work irregular ,1
0612,dom duties ,1
0613,washer ,2
0614,cook ,1
0614,dressm ,1
0614,year round ,1
0615,cook ,1
0616,washer ,1
0617,null,null
0618,service ,1
0619,dom duties ,1
0620,washer ,1
0621,dressm average ,1
0621,round ,1
0622,at service ,1
0622,sometimes ,1
0623,washer cant tell ,1
0624,null,null
0625,washer cant tell ,1
0626,sempstress ,1
0627,washer ,1
0628,washers cant tell ,2
0629,washer very little ,1
0630,days work cant tell ,1
0631,washer ,2
0632,midwifeaant tellgets so little of what she earns ,1
0633,days work ,1
0634,washer when can get it ,1
0635,cuts carpet rags ,1
0636,null,null
0637,cuts carpet rags ,1
0638,dom duties ,1
0639,assists husband ,1
0640,cook ,1
0641,washer ,1
0642,washer ,1
0643,washer ,1
0644,dom duties ,1
0645,washer ,1
0646,sempstress ,1
0647,washer when can get it ,1
0648,huxter part of the year ,1
0649,nurse ,1
0649,service ,1
0650,cook ,1
0650,make mats ,2
0651,nothing to do ,1
0652,days work ,1
0653,service ,1
0654,dressmaker ,1
0655,days work when can get it ,1
0656,days work ,1
0657,days work ,1
0658,washer cant tell ,1
0659,cook ,1
0660,service ,1
0661,cuts carpet rags ,1
0662,days work but little ,1
0663,service ,1
0664,days work ,1
0665,cut carpet rags ,2
0666,service ,1
0667,shop keeper ,1
0668,shop keeper ,1
0669,service ,1
0670,null,null
0671,days work when can get it ,1
0672,washer very little ,1
0673,washer sometimes ,1
0674,dom duties ,1
0675,washer ,2
0676,washer ,1
0677,null,null
0678,dom duties ,1
0679,dom duties ,1
0680,sempstress ,1
0680,dom duties ,1
0681,days work cant tell ,2
0682,washer very little ,1
0683,cook ,1
0684,washer ,1
0685,sempstress ,1
0686,days work ,1
0687,shirt m ,1
0687,dom duties ,2
0688,washer ,1
0689,days work ,1
0690,null,null
0691,days work ,1
0692,cake baker ,1
0692,hair dresser ,1
0692,policy office ,1
0693,days work ,1
0694,washer ,1
0694,sempstress ,1
0695,washer ,1
0696,dom duties ,1
0697,washer when able ,1
0698,days work ,2
0699,days work ,1
0700,washer wne able ,1
0701,not able ,1
0702,days work ,1
0703,days work ,1
0704,days work not much ,1
0705,days work ,1
0706,cook ,1
0707,washer ,2
0708,white washer ,1
0709,cook ,1
0709,dressmakers ,2
0709,washer ,1
0710,washer when able ,1
0711,days work ,1
0711,dressmaker ,1
0712,domduties ,1
0712,washer ,1
0713,dom duties ,1
0714,days work ,1
0715,washer when can get it ,1
0716,null,null
0717,days work ,1
0718,eating house cant tell ,1
0719,dressmaker ,1
0720,cook ,1
0721,dom duties ,3
0722,washer ,1
0723,dom duties ,1
0724,funeral furnishes ,1
0725,service ,1
0726,dressmk ,1
0726,washer when can get it ,1
0727,service ,1
0728,washer very little ,1
0729,washer dont keep count ,1
0730,washer doesnt keep count ,1
0731,washer ,1
0732,washer ,1
0733,at service ,1
0734,washer ,1
0735,not able ,1
0736,tailores ,1
0736,shirt ,1
0736,dressmaker ,1
0736,dressmaker ,1
0737,dom duties ,1
0738,days work ,1
0739,washer ,2
0740,dom duties ,1
0741,days work cant tell ,1
0742,washer ,1
0743,sempstress ,1
0744,null,null
0745,washer ,1
0745,not able ,1
0746,dom duties ,1
0747,dressmaker ,1
0748,washer when can get it ,1
0749,assists husband ,1
0750,dressmakers ,2
0750,dom duties ,1
0751,washers dont know ,3
0752,service ,1
0753,washer ,1
0753,quilter ,1
0754,washer ,1
0754,sempstress ,1
0755,nurse ,1
0756,shop keeper ,1
0757,dom duties ,1
0758,service ,1
0759,shop keeper ,1
0760,eating house ,1
0761,service ,1
0762,service ,2
0762,at ,1
0762,at ,1
0763,null,null
0764,days work when able ,1
0765,washer ,1
0766,domestic duties ,1
0767,dressm ,1
0767,dom duties ,1
0768,days work ,1
0768,dom duties ,1
0769,days work ,1
0770,days work ,3
0771,service ,1
0772,washer ,1
0773,washer ,1
0774,null,null
0775,service ,1
0775,generally ,1
0776,null,null
0777,washer when able ,1
0778,service ,1
0779,washer when can get it ,1
0780,washer when can get it ,1
0781,washer ,2
0781,dom duties ,1
0782,washer ,1
0783,washer very little ,1
0784,service ,1
0785,washer ,1
0785,not able ,1
0786,service ,1
0787,washer when can get it ,1
0787,sempstress ,1
0788,dom duties ,1
0789,dom duties ,1
0790,null,null
0791,dress maker ,1
0792,sempstress when can get it ,1
0793,dressm ,1
0793,tailoress ,1
0793,not able ,1
0794,sempstress ,1
0795,dom duties ,1
0796,teacher ,1
0796,dressmaker ,2
0796,domestic duties ,1
0797,washer ,1
0798,service ,1
0798,sometimes ,1
0799,washer ,1
0799,not able ,1
0800,days work when able ,1
0801,service generally ,1
0802,work sometimes ,1
0803,washer ,1
0804,washer ,1
0805,washer ,1
0806,washer when able ,1
0807,washer ,1
0807,and ,1
0807,sometimes ,1
0808,sempstress ,1
0809,washer ,1
0810,service ,1
0811,washer ,1
0811,washer ,1
0812,sempstress ,1
0813,washer ,1
0814,servide ,1
0815,washer when able ,1
0816,service ,1
0817,service ,1
0818,days work ,1
0819,days work when can get it ,1
0820,null,null
0821,days work ,1
0822,null,null
0823,washer ,1
0824,days work when can get it ,1
0825,cook ,1
0826,washer ,1
0827,days work when able ,1
0828,washer doesnt keep count ,1
0829,service ,1
0830,washer ,1
0831,washer ,1
0831,not able ,1
0832,washer ,1
0833,washer ,1
0834,washer ,1
0834,sometimes ,1
0835,null,null
0836,washer ,2
0837,service ,1
0838,service ,1
0839,washer ,1
0840,null,null
0841,milliner ,1
0842,washer ,1
0843,not able ,1
0844,dom duties ,1
0845,assists husband ,1
0846,days work ,1
0847,days work ,1
0848,washer ,2
0848,sempstress ,1
0849,null,null
0850,washer ,1
0851,service ,1
0852,cook ,1
0853,days work ,1
0854,service ,1
0855,assist harding ,2
0856,dom duties ,1
0857,washer when able ,1
0858,washer ,2
0859,washer when able ,1
0860,washer ,2
0861,washers ,2
0861,shirt maker ,1
0862,days work ,1
0863,service ,1
0864,confectioner ,1
0864,school teacher ,1
0865,not able ,1
0865,tailoress ,1
0866,null,null
0867,washer ,1
0868,dom duties ,1
0868,dressmaker ,1
0869,shop keeper ,1
0870,washer ,1
0871,washer ,1
0872,cuts carpet rags ,1
0873,null,null
0874,null,null
0875,null,null
0876,not able ,1
0877,washer ,1
0878,washer ,1
0879,days work ,1
0880,not able ,1
0881,not able ,1
0882,washer ,1
0883,days work ,1
0884,days work ,1
0885,huster ,1
0886,washer ,1
0887,washer ,1
0888,days work ,1
0889,days work ,2
0890,service ,1
0891,days work ,1
0892,dom duties ,1
0892,sempstress ,1
0893,null,null
0894,service ,1
0895,washer ,1
0896,washer ,1
0896,not able ,1
0897,service ,1
0898,days work ,1
0899,days work ,2
0900,days work ,1
0901,dress maker ,1
0902,not able ,1
0903,service ,1
0904,null,null
0905,days work ,1
0906,days work ,1
0907,days work when able ,1
0908,days work ,1
0909,days work ,1
0910,washer when able ,1
0911,days work ,1
0912,washer ,1
0912,sempstress ,1
0913,days work ,1
0914,washer when able ,1
0915,days work ,1
0916,cook ,1
0917,days work ,1
0918,washer ,1
0919,rag gather ,1
0920,service ,1
0921,washer ,1
0922,washer ,1
0923,washer ,1
0924,pastry cook ,1
0925,work when able ,1
0925,days work ,1
0926,cook ,1
0927,washer ,1
0927,quarter ,1
0928,days work ,1
0929,days work ,1
0930,days work ,1
0931,various ,1
