139,. . . . . . . . . . .,. . . . . . .,,,,,
140,. . . . . . . . . . .,. . . . . . .,,,,,
141,drives dray . . . . . . . . .,. . . . . . .,,,,,
142,waiter . . . . . . . . . .,. . . . . . .,,,,,
143,. . . . . . . . . . .,. . . . . . .,,,,,
144,. . . . . . . . . . .,. . . . . . .,,,,,
145,waiter . . . . . . . . . .,. . . . . . .,,,,,
146,porter . . . . . . . . . .,. . . . . . .,,,,,
147,. barber . . porter . . . . . .,1 . 1 . . . .,,,,,
148,porter . . . . . . . . . .,. . . . . . .,,,,,
149,. . . . . . . . . . .,. . . . . . .,,,,,
150,seaman . . . . . . . . . .,. . . . . . .,,,,,
151,waiter . . . . . . . . . .,. . . . . . .,,,,,
152,clothes dealer . . . . . . . . .,. . . . . . .,,,,,
153,porter . . . . . . . . . .,. . . . . . .,,,,,
154,oyster peddler . . . . . . . . .,. . . . . . .,,,,,
155,barber . . . . . . . . . .,. . . . . . .,,,,,
156,tailoer . . . . . . . . . .,. . . . . . .,,,,,
157,stevedore . . . . . . . . . .,. . . . . . .,,,,,
158,boot maker . . . . . . . . .,. . . . . . .,,,,,
159,waiter about . . . . . . . . .,. . . . . . .,,,,,
160,. . . . . . . . . . .,. . . . . . .,,,,,
161,. . . . . . . . . . .,. . . . . . .,,,,,
162,porter . . . . . . . . . .,. . . . . . .,,,,,
163,porter . . . . . . . . . .,. . . . . . .,,,,,
164,shoemaker . . . . . . . . . .,. . . . . . .,,,,,
165,waiter . . . . . . . . . .,. . . . . . .,,,,,
166,messanger . . . . . . . . . .,. . . . . . .,,,,,
167,whitewasher . . . . . . . . . .,. . . . . . .,,,,,
168,ice cream maker . . . . . . . .,. . . . . . .,,,,,
169,boot maker . . . . . . . . .,. . . . . . .,,,,,
170,. . . . . . . . . . .,. . . . . . .,,,,,
171,seaman . . . . . . . . . .,. . . . . . .,,,,,
172,sail maker . . . . . . . . .,. . . . . . .,,,,,
173,tailor . . . . . . . . . .,. . . . . . .,,,,,
174,boot maker . . . . . . . . .,. . . . . . .,,,,,
175,clothes dealer . . . . . . . . .,. . . . . . .,,,,,
176,tailor about . . . . . . . . .,. . . . . . .,,,,,
177,laborer . . . . . . . . . .,. . . . . . .,,,,,
178,laborer . . . . . . . . . .,. . . . . . .,,,,,
179,porter . . . . . . . . . .,. . . . . . .,,,,,
180,porter . . . . . . . . . .,. . . . . . .,,,,,
181,porter . . . . . . . . . .,. . . . . . .,,,,,
182,hat dyer . . . . . . . . .,. . . . . . .,,,,,
183,. . . . . . . . . . .,. . . . . . .,,,,,
184,dealer . . . . . . . . . .,. . . . . . .,,,,,
185,porter . . . . . . . . . .,. . . . . . .,,,,,
186,. . . . . . . . . . .,. . . . . . .,,,,,
187,. . . . . . . . . . .,. . . . . . .,,,,,
188,waiter . . . . . . . . . .,. . . . . . .,,,,,
189,laborer . . . . . . . . . .,. . . . . . .,,,,,
190,. . . . . . . . . . .,. . . . . . .,,,,,
191,. . . . . . . . . . .,. . . . . . .,,,,,
192,. . . . . . . . . . .,. . . . . . .,,,,,
193,. . washer french cook and musician . traveling preacher . .,1 . . . . 1 .,,,,,
194,waiter . . . . . . . . . .,. . . . . . .,,,,,
195,. sweep . seaman . . . . . . .,1 2 . . . . .,,,,,
196,laborer . . . . . . . . . .,. . . . . . .,,,,,
