ID,JoinOcc,JoinCount
0234,washer . . . . . . . . . .,. . . . . . . .
0235,. dress mkr . sempstress . . . . . .,1 . . 1 . . . .
0236,washer . cooik . . . . . . . .,. . . . . . . .
0237,service . . . . . . . . . .,. . . . . . . .
0238,washer . . . . . . . . . .,. . . . . . . .
0239,service . . . . . . . . . .,. . . . . . . .
0240,days work . . . . . . . . .,. . . . . . . .
0241,days work . . . . . . . . .,. . . . . . . .
0242,days work . . . . . . . . .,. . . . . . . .
0243,dress shirt maker about . . . . . . .,. . . . . . . .
0244,domestic duties . . . . . . . . .,. . . . . . . .
0245,. dosmestic duties . dress . shirt makers . . .,1 . . 2 . . . .
0246,. domestic duties . pastry cook . . . . .,1 . . 1 . . . .
0247,. washer . dressmaker . . . . . . .,1 . 1 . . . . .
0248,washer . . . . . . . . . .,. . . . . . . .
0249,days work . . . . . . . . .,. . . . . . . .
0250,. dressmakers . domestic duties . . . . . .,2 . 1 . . . . .
0251,service . . . . . . . . . .,. . . . . . . .
0252,sempstress . . . . . . . . . .,. . . . . . . .
0253,days work so irregular assist . . . . . .,. . . . . . . .
0254,days work less than . days the year round . .,. . . . 2 . . .
0255,days work less than . days w . . . .,. . . . 2 . . .
0256,dom duties . . . . . . . . .,. . . . . . . .
0257,service . sometimes . . . . . . . .,. . . . . . . .
0258,days work . . . . . . . . .,. . . . . . . .
0259,days work . days in w . . . . .,. . 2 . . . . .
0260,washer . . . . . . . . . .,. . . . . . . .
0261,. days work . . . . . . . .,1 . . . . . . .
0262,dealer in clothes . . . . . . . .,. . . . . . . .
0263,. . . . . . . . . . .,. . . . . . . .
0264,washer about . quarter . . . . . . .,. . . . . . . .
0265,service . . . . . . . . . .,. . . . . . . .
0266,washer . . . . . . . . . .,. . . . . . . .
0267,washer . . . . . . . . . .,. . . . . . . .
0268,days work . . . . . . . . .,. . . . . . . .
0269,washer . . . . . . . . . .,. . . . . . . .
0270,washer . . . . . . . . . .,. . . . . . . .
0271,washer . . . . . . . . . .,. . . . . . . .
0272,washer . . . . . . . . . .,. . . . . . . .
0273,. at service sometimes . . each . . . .,3 . . . . . . .
0274,serice . . . . . . . . . .,. . . . . . . .
0275,washer . . . . . . . . . .,. . . . . . . .
0276,service . . . . . . . . . .,. . . . . . . .
0277,. . . . . . . . . . .,. . . . . . . .
0278,dom duties . . . . . . . . .,. . . . . . . .
0279,days work . . . . . . . . .,. . . . . . . .
0280,quilter . sempstress ab . . . . . . .,. . . . . . . .
0281,. days work . service . . . . . .,1 . . 2 . . . .
0282,days work irregular . . . . . . . .,. . . . . . . .
0283,washer . . . . . . . . . .,. . . . . . . .
0284,does nothing . . . . . . . . .,. . . . . . . .
0285,washer . . . . . . . . . .,. . . . . . . .
0286,. . . . . . . . . . .,. . . . . . . .
0287,service . . . . . . . . . .,. . . . . . . .
0288,washer . . . . . . . . . .,. . . . . . . .
0289,washer . . . . . . . . . .,. . . . . . . .
0290,days work . . . . . . . . .,. . . . . . . .
0291,service . . . . . . . . . .,. . . . . . . .
0292,washer . . . . . . . . . .,. . . . . . . .
0293,washer . . . . . . . . . .,. . . . . . . .
0294,. . . . . . . . . . .,. . . . . . . .
0295,washer . . . . . . . . . .,. . . . . . . .
0296,washer . . . . . . . . . .,. . . . . . . .
0297,. . . . . . . . . . .,. . . . . . . .
0298,dressmaker . . . . . . . . . .,. . . . . . . .
0299,. . . . . . . . . . .,. . . . . . . .
0300,service . . . . . . . . . .,. . . . . . . .
0301,. washer . dressmaker . . . . . . .,1 . 1 . . . . .
0302,upholsteress . . . . . . . . . .,. . . . . . . .
0303,assists husband . . . . . . . . .,. . . . . . . .
0304,. dressmaker . washer . nurse ab . . . .,1 . 1 . 1 . . .
0305,. shirt makers . quilters ab . . . . .,3 . . . . . . .
0306,. . . . . . . . . . .,. . . . . . . .
0307,washer . . . . . . . . . .,. . . . . . . .
0308,washer . . . . . . . . . .,. . . . . . . .
0309,washer . . . . . . . . . .,. . . . . . . .
0310,muffin baker . . . . . . . . .,. . . . . . . .
0311,. intelligence office . sempstress . . . . . .,1 . . 1 . . . .
0312,. childs nurse . days work . . . . .,1 . . 1 . . . .
0313,washer . . . . . . . . . .,. . . . . . . .
0314,washer . . . . . . . . . .,. . . . . . . .
0315,domestic duties . . . . . . . . .,. . . . . . . .
0316,washer . . . . . . . . . .,. . . . . . . .
0317,washer . . . . . . . . . .,. . . . . . . .
0318,washer . . . . . . . . . .,. . . . . . . .
0319,washer irregular . . . . . . . . .,. . . . . . . .
0320,sempstress . . . . . . . . . .,. . . . . . . .
0321,days work . . . . . . . . .,. . . . . . . .
0322,dom duties . . . . . . . . .,. . . . . . . .
0323,care takes school room . . . . . . .,. . . . . . . .
0324,sempstress . . . . . . . . . .,. . . . . . . .
0325,days work in spring . fall . . . . .,. . . . . . . .
0326,. washer . sempstress . . . . . . .,1 . 1 . . . . .
0327,service . . . . . . . . . .,. . . . . . . .
0328,. white washers . . . . . . . .,3 . . . . . . .
0329,. washer . tailoress . . . . . . .,1 . 1 . . . . .
0330,. shirtm . dom duties ab . . . . .,1 . 1 . . . . .
0331,. washer . dressmaker . . . . . . .,1 . 1 . . . . .
0332,dressm . millener ab . . . . . . .,. . . . . . . .
0333,washer . . . . . . . . . .,. . . . . . . .
0334,. days work . dressm iregular . . . . .,1 . . 1 . . . .
0335,service . . . . . . . . . .,. . . . . . . .
0336,days work . . . . . . . . .,. . . . . . . .
0337,. . . . . . . . . . .,. . . . . . . .
0338,. . . . . . . . . . .,. . . . . . . .
0339,washer very irregular . . . . . . . .,. . . . . . . .
0340,days work irregular . . . . . . . .,. . . . . . . .
0341,days work irregular . . . . . . . .,. . . . . . . .
0342,days work irregular . . . . . . . .,. . . . . . . .
0343,domestic duties . . . . . . . . .,. . . . . . . .
0344,days work . . . . . . . . .,. . . . . . . .
0345,days work . . . . . . . . .,. . . . . . . .
0346,days work irregular . . . . . . . .,. . . . . . . .
0347,janiitor . . . . . . . . . .,. . . . . . . .
0348,days work average . . . . . . . .,. . . . . . . .
0349,days work . . . . . . . . .,. . . . . . . .
0350,days work . . . . . . . . .,. . . . . . . .
0351,days work irregular . . . . . . . .,. . . . . . . .
0352,. . . . . . . . . . .,. . . . . . . .
0353,. days work . rag sorter . . . . .,1 . . 1 . . . .
0354,days work . . . . . . . . .,. . . . . . . .
0355,days work irregular . . . . . . . .,. . . . . . . .
0356,days work irregular . . . . . . . .,. . . . . . . .
0357,days work . . . . . . . . .,. . . . . . . .
0358,days work . . round . . . . . .,. . . . . . . .
0359,days work considerable in summer . . . . . .,. . . . . . . .
0360,days work irregular . . . . . . . .,. . . . . . . .
0361,days work very little . . . . . . .,. . . . . . . .
0362,washer . . . . . . . . . .,. . . . . . . .
0363,. domestic duties . . . . . . . .,1 . . . . . . .
0364,washer cant tell . . . . . . . .,. . . . . . . .
0365,days work . . . . . . . . .,. . . . . . . .
0366,white washer . . . . . . . . .,. . . . . . . .
0367,not able to work . . . . . . .,. . . . . . . .
0368,washer cant tell . . . . . . . .,. . . . . . . .
0369,service . . . . . . . . . .,. . . . . . . .
0370,days work . . . . . . . . .,. . . . . . . .
0371,washer . . . . . . . . . .,. . . . . . . .
0372,days work . . . . . . . . .,. . . . . . . .
0373,. washer . . . . . . . . .,3 . . . . . . .
0374,. dressmakers very little . . . . . . .,3 . . . . . . .
0375,sempstress irregular . . . . . . . . .,. . . . . . . .
0376,washer cant tell . . . . . . . .,. . . . . . . .
0377,washer very little . . . . . . . .,. . . . . . . .
0378,dom duties . . . . . . . . .,. . . . . . . .
0379,days work very little . . . . . . .,. . . . . . . .
0380,. sempstress . . . . . . . . .,1 . . . . . . .
0381,dom duties . . . . . . . . .,. . . . . . . .
0382,washer less than . . . round . . . .,. . . . . . . .
0383,domestic duties . . . . . . . . .,. . . . . . . .
0384,washer . . . . . . . . . .,. . . . . . . .
0385,washer . . . . . . . . . .,. . . . . . . .
0386,. dom duties . dressmaker . . . . . .,1 . . 1 . . . .
0387,washer very little . . . . . . . .,. . . . . . . .
0388,days work . . . . . . . . .,. . . . . . . .
0389,confectioner . . . . . . . . . .,. . . . . . . .
0390,days work very little . . . . . . .,. . . . . . . .
0391,days work . . . . . . . . .,. . . . . . . .
0392,washer very little . . . . . . . .,. . . . . . . .
0393,washer irregular . . . . . . . . .,. . . . . . . .
0394,rug maker . . . . . . . . .,. . . . . . . .
0395,washer cant tell . . . . . . . .,. . . . . . . .
0396,washer . . . . . . . . . .,. . . . . . . .
0397,days work . . . . . . . . .,. . . . . . . .
