HOUSEHOLD ID,OCCUPATION 1,COUNT,OCCUPATION 2,COUNT,OCCUPATION 3,COUNT
588,service ,1
589,service ,1
590,service ,1
591,service ,1
592,cook ,1
593,dom duties ,1
594,dom duties ,1
595,cook ,1
596,not able to work ,1
597,washer ,2
598,washer ,3
599,washer ,1
600,washer ,1
601,washer very little ,1
602,washer very little ,1
603,days work when can get it ,1
604,washer ,1
605,null,null
606,washer ,1
607,washer cant tell ,1
608,null,null
609,various ,1
610,days work ,1
611,days work irregular ,1
612,dom duties ,1
613,washer ,2
614,cook ,1,dressmaker ,1
615,cook ,1
616,washer ,1
617,null,null
618,service ,1
619,dom duties ,1
620,washer ,1
621,dressm,1
622,at service ,1
623,washer cant tell ,1
624,null,null
625,washer cant tell ,1
626,sempstress ,1
627,washer ,1
628,washer cant tell ,2
629,washer very little ,1
630,days work cant tell ,1
631,washer ,2
632,midwife cant tell gets so little of what she earns ,1
633,days work ,1
634,washer when can get it ,1
635,cuts carpet rags ,1
636,null,null
637,cuts carpet rags ,1
638,dom duties ,1
639,assists husband ,1
640,cook ,1
641,washer ,1
642,washer ,1
643,washer ,1
644,dom duties ,1
645,washer ,1
646,sempstress ,1
647,washer when can get it ,1
648,huckster part of the year ,1
649,nurse ,1,service ,1
650,cook ,1,make mats ,2
651,nothing to do ,1
652,days work ,1
653,service ,1
654,dressmaker ,1
655,days work when can get it ,1
656,days work ,1
657,days work ,1
658,washer cant tell ,1
659,cook ,1
660,service ,1
661,cuts carpet rags ,1
662,days work but little ,1
663,service ,1
664,days work ,1
665,cuts carpet rags ,2
666,service ,1
667,shop keeper ,1
668,shop keeper ,1
669,service ,1
670,null,null
671,days work when can get it ,1
672,washer very little ,1
673,washer sometimes ,1
674,dom duties ,1
675,washer ,2
676,washer ,1
677,null,null
678,dom duties ,1
679,dom duties ,1
680,sempstress ,1,dom duties ,1
681,days work cant tell ,2
682,washer very little ,1
683,cook ,1
684,washer ,1
685,sempstress ,1
686,days work ,1
687,shirt m ,1,dom duties ,2
688,washer ,1
689,days work ,1
690,null,null
691,days work ,1
692,cake baker ,1,hair dresser ,1,policy office ,1
693,days work ,1
694,washer ,1,sempstress ,1
695,washer ,1
696,dom duties ,1
697,washer when able ,1
698,days work ,2
699,days work ,1
700,washer when able ,1
701,not able ,1
702,days work ,1
703,days work ,1
704,days work not much ,1
705,days work ,1
706,cook ,1
707,washer ,2
708,whitewasher ,1
709,cook ,1,dressmaker ,2,washer ,1
710,washer when able ,1
711,days work ,1,dressmaker ,1
712,dom duties ,1,washer ,1
713,dom duties ,1
714,days work ,1
715,washer when can get it ,1
716,null,null
717,days work ,1
718,eating house cant tell ,1
719,dressmaker ,1
720,cook ,1
721,dom duties ,3
722,washer ,1
723,dom duties ,1
724,funeral furnishes ,1
725,service ,1
726,dressmaker ,1,washer when can get it ,1
727,service ,1
728,washer very little ,1
729,washer dont keep count ,1
730,washer doesnt keep count ,1
731,washer ,1
732,washer ,1
733,at service ,1
734,washer ,1
735,not able ,1
736,tailoress ,1,shirt & dressmaker,1,dressmaker ,1
737,dom duties ,1
738,days work ,1
739,washer ,2
740,dom duties ,1
741,days work cant tell ,1
742,washer ,1
743,sempstress ,1
744,null,null
745,washer ,1,not able ,1
746,dom duties ,1
747,dressmaker ,1
748,washer when can get it ,1
749,assists husband ,1
750,dressmaker ,2,dom duties ,1
751,washer dont know ,3
752,service ,1
753,washer ,1,quilter ,1
754,washer ,1,sempstress ,1
755,nurse ,1
756,shop keeper ,1
757,dom duties ,1
758,service ,1
759,shop keeper ,1
760,eating house ,1
761,service ,1
762,service ,2
763,null,null
764,days work when able ,1
765,washer ,1
766,domestic duties ,1
767,dressmaker ,1,dom duties ,1
768,days work ,1,dom duties ,1
769,days work ,1
770,days work ,3
771,service ,1
772,washer ,1
773,washer ,1
774,null,null
775,service ,1
776,null,null
777,washer when able ,1
778,service ,1
779,washer when can get it ,1
780,washer when can get it ,1
781,washer ,2,dom duties ,1
782,washer ,1
783,washer very little ,1
784,service ,1
785,washer ,1,not able ,1
786,service ,1
787,washer when can get it ,1,sempstress ,1
788,dom duties ,1
789,dom duties ,1
790,null,null
791,dressmaker ,1
792,sempstress when can get it ,1
793,dressmaker & tailoress,1,not able ,1
794,sempstress ,1
795,dom duties ,1
796,teacher & dressmaker,1,domestic duties ,2
797,washer ,1
798,service ,1
799,washer ,1,not able ,1
800,days work when able ,1
801,service generally ,1
802,work sometimes ,1
803,washer ,1
804,washer ,1
805,washer ,1
806,washer when able ,1
807,washer ,1
808,sempstress ,1
809,washer ,1
810,service ,1
811,washer ,1,whitewasher ,1
812,sempstress ,1
813,washer ,1
814,service ,1
815,washer when able ,1
816,service ,1
817,service ,1
818,days work ,1
819,days work when can get it ,1
820,null,null
821,days work ,1
822,null,null
823,washer ,1
824,days work when can get it ,1
825,cook ,1
826,washer ,1
827,days work when able ,1
828,washer doesnt keep count ,1
829,service ,1
830,washer ,1
831,washer ,1,not able ,1
832,washer ,1
833,washer ,1
834,washer ,1
835,null,null
836,washer ,2
837,service ,1
838,service ,1
839,washer ,1
840,null,null
841,milliner ,1
842,washer ,1
843,not able ,1
844,dom duties ,1
845,assists husband ,1
846,days work ,1
847,days work ,1
848,washer ,2,sempstress ,1
849,null,null
850,washer ,1
851,service ,1
852,cook ,1
853,days work ,1
854,service ,1
855,assist harding ,2
856,dom duties ,1
857,washer when able ,1
858,washer ,2
859,washer when able ,1
860,washer ,2
861,washer ,2,shirt maker ,1
862,days work ,1
863,service ,1
864,confectioner ,1,school teacher ,1
865,not able ,1,tailoress ,1
866,null,null
867,washer ,1
868,dom duties ,1,dressmaker ,1
869,shop keeper ,1
870,washer ,1
871,washer ,1
872,cuts carpet rags ,1
873,null,null
874,null,null
875,null,null
876,not able ,1
877,washer ,1
878,washer ,1
879,days work ,1
880,not able ,1
881,not able ,1
882,washer ,1
883,days work ,1
884,days work ,1
885,huckster,1
886,washer ,1
887,washer ,1
888,days work ,1
889,days work ,2
890,service ,1
891,days work ,1
892,dom duties ,1,sempstress ,1
893,null,null
894,service ,1
895,washer ,1
896,washer ,1,not able ,1
897,service ,1
898,days work ,1
899,days work ,2
900,days work ,1
901,dressmaker ,1
902,not able ,1
903,service ,1
904,null,null
905,days work ,1
906,days work ,1
907,days work when able ,1
908,days work ,1
909,days work ,1
910,washer when able ,1
911,days work ,1
912,washer ,1,sempstress ,1
913,days work ,1
914,washer when able ,1
915,days work ,1
916,cook ,1
917,days work ,1
918,washer ,1
919,rag gather ,1
920,service ,1
921,washer ,1
922,washer ,1
923,washer ,1
924,pastry cook ,1
925,work when able ,1,days work ,1
926,cook ,1
927,washer ,1
928,days work ,1
929,days work ,1
930,days work ,1
931,various ,1,irregular ,1
932,dressmaker ,2,washer ,1
933,cook ,1
934,days work when can get it ,1
935,null,null
936,days work ,1
937,days work ,1
938,cook ,1
939,whitewasher ,1
940,null,null
941,various ,1
942,washer when able ,1
943,null,null
944,days work ,1
945,days work when able ,2
946,rag sorter ,2
947,days work when can get it ,1
948,days work when can get it ,1
949,days work ,1
950,days work when able ,1
951,days work ,1
952,not able ,1
953,washer when able ,1
954,milliner ,1,dressmaker ,1
955,dressmaker ,2
956,sempstress ,1
957,washer ,1
958,cook ,1
959,service ,1
960,washer ,1
961,not able ,1
962,dressmaker ,1,tailoress ,1
963,service commonly ,1
964,service ,1
965,shop keeper ,1
966,days work ,1
967,days work ,1
968,washer when able ,1
969,null,null
970,sempstress ,1
971,days work very little ,1
972,various ,1
973,cook ,1
974,shop keeper ,1
975,washer ,1
976,washer when able ,1
977,washer average ,1
978,service ,1
979,washer ,2
980,days work ,1
981,days work ,1
982,washer ,1
983,null,null
984,service ,1
985,washer ,2
986,dressmaker ,1
987,washer ,1
988,days work ,1
989,washer ,1,dressmaker ,1
990,cook ,1
991,cook ,1
992,days work when able ,1
993,dressmaker ,1
994,service ,1
995,washer ,1
996,washer ,1
997,washer ,2
998,milliner ,1,dressmaker ,1,embroider ,1
999,service ,1
1000,null,null
1001,washer ,1
1002,days work ,1
1003,cook ,1
1004,washer ,1
1005,days work ,1
1006,null,null
1007,dressmaker ,3
1008,washer ,1
1009,washer ,1
1010,washer ,1
1011,washer ,1
1012,days work ,2
1013,days work ,1,not able ,1
1014,dressmaker ,1,dom duties ,1
1015,washer ,1
1016,dom duties ,1
1017,days work ,1,washer ,1
1018,washer ,1
1019,days work ,1
1020,washer ,1
1021,washer ,1
1022,null,null
1023,washer ,2
1024,washer ,1
1025,milliner ,1
1026,sempstress ,1,dom duties ,1
1027,days work ,1
1028,service ,1
1029,days work ,1
1030,null,null
1031,service ,1
1032,washer when can get it ,1
1033,sempstress ,1,days work ,1
1034,washer ,1
1035,washer ,1
1036,dom duties ,1
1037,washer ,1
1038,dom duties ,1
1039,dom duties ,1
1040,washer ,1
1041,dom duties ,1
1042,washer ,1,tailoress when able ,1
1043,service ,1
1044,service ,1
1045,washer ,1
1046,washer ,1
1047,cook ,1
1048,washer ,1
1049,washer ,1
1050,washer ,2
1051,washer ,2,not able ,1
1052,washer ,1
1053,washer ,2
1054,washer ,1
1055,washer ,1
1056,washer ,1
1057,washer ,1
1058,dom duties ,2
1059,dom duties ,1
1060,days work ,1
1061,service ,1
1062,washer ,1
1063,sempstresses ,2
1064,washer ,2,dressmaker ,1
1065,service ,1
1066,washer ,1
1067,whitewasher ,1
1068,cook ,1
1069,days work ,1
1070,cake seller ,1
1071,washer ,1
1072,washer when can get it ,1
1073,washer ,1
1074,washer ,1
1075,barber ,1
1076,days work ,1
1077,assists at home ,1
1078,washer ,1
1079,washer ,1
1080,washer ,1
1081,cook ,1,washer ,1
1082,days work ,1
1083,not able ,1
1084,days work ,2
1085,huckster,1
1086,washer ,2
1087,washer ,1
1088,dressmaker ,1
